weight_decay,max_avg,std_avg,max_merged,std_merged,loss_ratio,acc_ratio
0.0,0.9999373430134262,0.3028935494577796,0.9682474223950419,0.21540717975780987,1.2377026061979393,0.8508230452674896
0.02,0.9946478044770904,0.29371881881714884,0.9891572611781355,0.2880375861359861,1.0070427620253009,0.9985766360006942
0.04,0.9891528505613755,0.28549659321991144,0.9816399058594871,0.27858116870490124,1.0064930138514752,1.006457660660348
0.06,0.9832877009567488,0.2794619102320605,0.9759050424868306,0.2715632077604056,1.006632658293992,1.0108296943231443
0.08,0.9795113067530469,0.27315185616572446,0.9710481328705248,0.26468274197258507,1.0087903049040496,1.006700923546976
0.1,0.975988329282076,0.26821919755179024,0.9722396956084255,0.25885590568137246,1.0092720686411711,1.0101570680628271
0.12,0.9710185554461739,0.2625452289883448,0.9622141840739753,0.25324602325122575,1.0099409595341236,1.0082696535119857
0.14,0.9677152878687151,0.25827769654246563,0.957167204195699,0.24808234357224485,1.0087650629394203,1.014553891584054
0.16,0.963056161698188,0.25352562489474034,0.9576737437004479,0.24337998089698937,1.0101811402828573,1.0112842370039128
0.18,0.9593715299559604,0.24872823561024995,0.9510487062862506,0.23873217208697772,1.0096599133658228,1.014508574849456
0.2,0.9540366659910915,0.24490045301449567,0.9478788387280302,0.2343804032657855,1.0102345717632535,1.0150494632708904
