,hidden_features,weight_decay,num_models,loss_avg,acc_avg,loss_merged,acc_merged
0,200,0.0,2,1.515459550264925,0.9554499999999999,1.8501453925245486,0.7457
1,200,0.0,3,1.51648961609037,0.9536000000000001,1.9635137018685143,0.6498
2,200,0.0,4,1.517469160377789,0.9519,2.079779405944264,0.4633
3,200,0.0,5,1.5148233211840305,0.9542399999999999,2.07816209541723,0.551
4,200,0.0,6,1.5157344922724878,0.9541999999999998,2.1589833517044115,0.4345
5,200,0.02,2,1.5443150987640357,0.9552499999999999,1.6516974265583027,0.9126
6,200,0.02,3,1.5449116448370919,0.9535,1.6830034187426581,0.9107
7,200,0.02,4,1.544342379600476,0.95325,1.7808252561587494,0.8396
8,200,0.02,5,1.5434943004918937,0.9551999999999999,1.8374851424092302,0.7492
9,200,0.02,6,1.545159709783662,0.9536166666666666,1.8545067173223526,0.7579
10,200,0.04,2,1.5656346294064871,0.9543999999999999,1.640113032663973,0.9041
11,200,0.04,3,1.5662484589222265,0.9537666666666667,1.6888322754028124,0.8938
12,200,0.04,4,1.5659437224316521,0.954075,1.7366764297881447,0.8389
13,200,0.04,5,1.5657378326208828,0.95358,1.720190649596266,0.827
14,200,0.04,6,1.566289547533273,0.95425,1.745139600369877,0.8558
15,200,0.06,2,1.586786267475579,0.95215,1.6499540588726251,0.9369
16,200,0.06,3,1.5866452299367886,0.9534666666666666,1.67391740894927,0.9306
17,200,0.06,4,1.5882549509644128,0.9501999999999999,1.6847154610454085,0.9118
18,200,0.06,5,1.5863566975243173,0.95408,1.6981558868298516,0.9053
19,200,0.06,6,1.5871286475366422,0.95205,1.6856180151430562,0.9156
20,200,0.08,2,1.6047343472703197,0.9539,1.6569676395422352,0.9382
21,200,0.08,3,1.610405932346218,0.9453333333333335,1.6612589347857636,0.9375
22,200,0.08,4,1.6084608188071572,0.94755,1.6920259680610876,0.9172
23,200,0.08,5,1.609137081642882,0.9490999999999999,1.6952489515463003,0.884
24,200,0.08,6,1.6069423407792283,0.9503333333333334,1.6792237065470637,0.9176
25,200,0.1,2,1.6251384526395949,0.9491499999999999,1.6485895729674318,0.9506
26,200,0.1,3,1.6263297263044898,0.9460666666666665,1.6732219499520982,0.9354
27,200,0.1,4,1.6251827048988767,0.947875,1.6796944259454647,0.933
28,200,0.1,5,1.6269484009605626,0.9461999999999999,1.6804074315598216,0.9345
29,200,0.1,6,1.624249506999636,0.9490333333333333,1.6721867322921753,0.9454
30,200,0.12,2,1.6447042299154848,0.9468,1.6701091402254926,0.9485
31,200,0.12,3,1.6428222936817125,0.9456333333333333,1.6847994586530204,0.9319
32,200,0.12,4,1.6446467947464782,0.9459249999999999,1.687358338231096,0.9476
33,200,0.12,5,1.644000978744068,0.9462400000000001,1.694207863685803,0.9345
34,200,0.12,6,1.6433730382507978,0.9444333333333333,1.6966070397593342,0.9311
35,200,0.14,2,1.6601325860038734,0.94425,1.6853853605044917,0.9437
36,200,0.14,3,1.6583827533407078,0.9455666666666667,1.6915614772528504,0.9492
37,200,0.14,4,1.6600285478102896,0.9434,1.7028665972974735,0.9355
38,200,0.14,5,1.6581389963436433,0.9478,1.7090788382691697,0.9357
39,200,0.14,6,1.658819453150066,0.9458000000000001,1.7008015233487748,0.9511
40,200,0.16,2,1.676069224033112,0.94135,1.6967612535427934,0.9477
41,200,0.16,3,1.6750906291988077,0.9429333333333334,1.702259045058546,0.9507
42,200,0.16,4,1.6760873203269973,0.940725,1.7096720975808823,0.95
43,200,0.16,5,1.6738633529065896,0.9446399999999999,1.7154904695364614,0.9489
44,200,0.16,6,1.6761728402016898,0.9414833333333333,1.718972539368529,0.9494
45,200,0.18,2,1.6929486449153277,0.9379500000000001,1.7096000167127616,0.9532
46,200,0.18,3,1.6931474626508638,0.9357666666666667,1.7200946400340753,0.9409
47,200,0.18,4,1.6933991743352848,0.936325,1.7207054116855414,0.9517
48,200,0.18,5,1.6895267156747202,0.9410399999999999,1.728397067362508,0.9504
49,200,0.18,6,1.689029596293696,0.9425666666666667,1.7289892690250288,0.9534
50,200,0.2,2,1.7075601928531172,0.93625,1.726372203887842,0.942
51,200,0.2,3,1.7053862250270173,0.9400333333333334,1.7296548080139649,0.9541
52,200,0.2,4,1.7054054744708271,0.936775,1.738285391475446,0.946
53,200,0.2,5,1.7038560226702462,0.94052,1.7437517315434952,0.9393
54,200,0.2,6,1.7058821338942003,0.9380333333333334,1.745056553770559,0.9472
55,200,0.22,2,1.7269490385969606,0.92065,1.7360401686768943,0.9436
56,200,0.22,3,1.7185325730469028,0.9391333333333334,1.743801641007201,0.9496
57,200,0.22,4,1.723752524810858,0.9267749999999999,1.7480209361250028,0.9484
58,200,0.22,5,1.7186597849995184,0.9369,1.7496944174598963,0.9541
59,200,0.22,6,1.714271470253714,0.9455,1.755911230279234,0.9534
60,200,0.24,2,1.7313095504483476,0.9377,1.7452143400241011,0.9532
61,200,0.24,3,1.7336506150401059,0.9339666666666666,1.7560060146136787,0.9468
62,200,0.24,4,1.7351017469605698,0.9289000000000001,1.7610824751777772,0.9475
63,200,0.24,5,1.7308255261125658,0.9364199999999998,1.760949846273794,0.9566
64,200,0.24,6,1.7334899800146222,0.9301833333333333,1.7660583589023675,0.9522
65,200,0.26,2,1.7409519850255584,0.9418500000000001,1.7589288264417802,0.9491
66,200,0.26,3,1.7415895073558574,0.9385666666666667,1.7681478220052993,0.9475
67,200,0.26,4,1.744618128949461,0.932375,1.7744743012772581,0.9447
68,200,0.26,5,1.7428893919569997,0.93516,1.7784579744735085,0.9443
69,200,0.26,6,1.7428215613253455,0.9359166666666666,1.777947036222147,0.9548
70,200,0.28,2,1.7573627027840661,0.9327,1.7695182318123766,0.9496
71,200,0.28,3,1.756360389934942,0.9326666666666666,1.7780134521734219,0.9486
72,200,0.28,4,1.7587941946884316,0.9256,1.7845275832441287,0.9469
73,200,0.28,5,1.7593879455194685,0.92728,1.7841994419646339,0.9529
74,200,0.28,6,1.7566331308235883,0.9325666666666667,1.7888357121342668,0.9519
75,200,0.3,2,1.7721608265901145,0.9226,1.7830980585786862,0.9423
76,200,0.3,3,1.7646638468558542,0.9371666666666666,1.787708375781489,0.9522
77,200,0.3,4,1.764051037284132,0.938125,1.7938250512741625,0.9482
78,200,0.3,5,1.7678720220590172,0.9300799999999999,1.7976562215116458,0.9461
79,200,0.3,6,1.76602289483697,0.93635,1.8003471046210098,0.9516
